function_id,budget_function,budget_subfunction
1,General Government,Legislative functions
2,Administration of Justice,Federal litigative and judicial activities
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
4,International Affairs,International security assistance
5,International Affairs,International financial programs
4,International Affairs,International security assistance
3,International Affairs,International development and humanitarian assistance
5,International Affairs,International financial programs
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
7,Community and Regional Development,Community development
8,Natural Resources and Environment,Water resources
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
9,Income Security,Housing assistance
10,Agriculture,Farm income stabilization
11,Community and Regional Development,Disaster relief and insurance
6,Agriculture,Agricultural research and services
12,Health,Consumer and occupational health and safety
10,Agriculture,Farm income stabilization
13,Community and Regional Development,Area and regional development
11,Community and Regional Development,Disaster relief and insurance
10,Agriculture,Farm income stabilization
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
10,Agriculture,Farm income stabilization
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
15,Energy,Energy supply
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
10,Agriculture,Farm income stabilization
10,Agriculture,Farm income stabilization
15,Energy,Energy supply
13,Community and Regional Development,Area and regional development
10,Agriculture,Farm income stabilization
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
7,Community and Regional Development,Community development
13,Community and Regional Development,Area and regional development
9,Income Security,Housing assistance
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
9,Income Security,Housing assistance
9,Income Security,Housing assistance
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
