agency_id,function_id,account_id,submission_period,agency_identifier_name,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
1,1,1,FY2025P08,Government Accountability Office,166029789.4,20382250.83,821894000,0,0,51155663.25,51155663.25,1059461704,621675376.6,20442512.05,437786326.9,601109640.4,1059461704,7/1/2025
2,2,2,FY2025P08,The Judicial Branch,57135048.97,15645902.45,625967000,0,0,0,0,698747951.4,600181593.1,14965902.45,98566358.32,437730184.1,698747951.4,6/30/2025
3,3,3,FY2025P08,Executive Office of the President,100000,0,100000,0,0,0,0,200000,0,0,200000,0,200000,6/27/2025
4,3,4,FY2025P08,Executive Office of the President,37925928.16,26153139.31,430500000,0,0,14992473.27,14992473.27,509571540.7,281885234.2,15871432.3,227686306.5,280295279.7,509571540.7,6/27/2025
4,3,5,FY2025P08,Executive Office of the President,5000000,0,0,0,0,0,0,5000000,0,0,5000000,0,5000000,6/27/2025
5,3,6,FY2025P08,Executive Office of the President,69428510.3,8433894.62,87000000,0,0,17413845.71,17413845.71,182276250.6,31347599.58,8433894.62,150928651.1,52504952.28,182276250.6,6/27/2025
6,3,7,FY2025P08,Executive Office of the President,0,0,0,0,0,0,0,0,0,0,0,0,0,7/1/2025
3,3,8,FY2025P08,Executive Office of the President,47785975.98,34805940.89,870275000,0,0,0,0,952866916.9,28353877.46,9805940.89,924513039.4,401652313.7,952866916.9,6/27/2025
3,4,9,FY2025P08,Executive Office of the President,96390346.41,38679257.62,410458000,0,0,4000000,4000000,549527604,22510186.4,38679257.62,527017417.6,156998563.2,549527604,6/27/2025
7,4,10,FY2025P08,Executive Office of the President,809424.31,0,0,0,0,0,0,809424.31,170.07,0,809254.24,86507.39,809424.31,6/30/2025
3,4,11,FY2025P08,Executive Office of the President,1.16,0,0,0,0,0,0,1.16,0,0,1.16,0,1.16,6/27/2025
3,4,12,FY2025P08,Executive Office of the President,138146752.3,25753351.77,870000000,0,0,4606.22,4606.22,1033904710,10061534.61,17824393.21,1023843176,187895174.1,1033904710,6/27/2025
8,4,13,FY2025P08,Executive Office of the President,58055881.74,23096797.14,119152000,0,0,0,0,200304678.9,35905234.47,23096797.14,164399444.4,73457098.93,200304678.9,6/30/2025
7,4,14,FY2025P08,Executive Office of the President,3199337451,333965705.4,6133397000,0,0,0,0,9666700156,3829330986,333880287.4,5837369170,4994005609,9666700156,6/30/2025
8,4,15,FY2025P08,Executive Office of the President,0,0,0,0,0,0,0,0,0,85418,0,16367527.82,0,6/30/2025
8,5,16,FY2025P08,Executive Office of the President,156775367.8,71499732.96,0,0,0,16598363.45,16598363.45,244873464.2,90185837.22,71499732.96,154687627,142599704.2,244873464.2,6/30/2025
8,4,17,FY2025P08,Executive Office of the President,0,0,0,0,0,0,0,0,0,0,0,0,0,6/30/2025
4,3,18,FY2025P08,Executive Office of the President,0,0,0,0,0,0,0,0,0,0,0,8227782.05,0,6/27/2025
8,5,19,FY2025P08,Executive Office of the President,2.85233E+11,2516646932,2846734239,0,65000000000,0,65000000000,3.55596E+11,35185568077,2516646932,3.20411E+11,32960769948,3.55596E+11,6/30/2025
4,3,20,FY2025P08,Executive Office of the President,4060219.95,40323.52,518052.85,0,0,0,0,4618596.32,483701.11,40323.52,4134895.21,484132.61,4618596.32,6/27/2025
4,3,21,FY2025P08,Executive Office of the President,0,0,190375,0,0,0,0,190375,18449.24,0,171925.76,11519.24,190375,6/27/2025
4,3,22,FY2025P08,Executive Office of the President,261177.7,69052.74,0,0,0,0,0,330230.44,0,69052.74,330230.44,23776.5,330230.44,6/27/2025
9,6,23,FY2025P08,Department of Agriculture,5940996.69,-77002.05,91000000,0,0,15001124.49,15001124.49,111865119.1,77597694.73,522997.95,34267424.4,70486186.64,111865119.1,7/1/2025
9,6,24,FY2025P08,Department of Agriculture,798971.18,162340.4,6867000,0,0,2078056.81,2078056.81,9906368.39,5730379.98,162340.4,4175988.41,5444538.76,9906368.39,7/1/2025
9,7,25,FY2025P08,Department of Agriculture,0,0,500000,0,0,0,0,500000,0,0,500000,888101.82,500000,7/1/2025
9,8,26,FY2025P08,Department of Agriculture,43158940.39,271560.76,920000000,0,0,0,0,963430501.2,743816.8,271560.76,962686684.4,3636795.46,963430501.2,7/1/2025
9,6,27,FY2025P08,Department of Agriculture,22104.29,0,0,0,0,0,0,22104.29,22104.29,0,0,22104.29,22104.29,7/1/2025
9,6,28,FY2025P08,Department of Agriculture,5166834465,892187129.9,31152592000,0,0,74183753.57,74183753.57,37285797348,11615569800,898104016.3,25670227548,8937673612,37285797348,7/1/2025
9,6,29,FY2025P08,Department of Agriculture,70875699.75,3028624.9,22603000,0,0,37796140.35,37796140.35,134303465,36831209.93,3028624.9,97472255.07,83666175.35,134303465,7/1/2025
9,6,30,FY2025P08,Department of Agriculture,13752161.03,151319.01,30500000,0,0,14513689.3,14513689.3,58917169.34,24060559.76,601246.08,34856609.58,23131154.42,58917169.34,7/1/2025
9,6,31,FY2025P08,Department of Agriculture,3616894.47,1138644.53,1884000,0,0,10212384.72,10212384.72,16851923.72,4311022.4,1138644.53,12540901.32,9757595.07,16851923.72,7/1/2025
9,6,32,FY2025P08,Department of Agriculture,938007.81,37913.24,1617000,0,0,0,0,2592921.05,888643.37,37913.24,1704277.68,896604.34,2592921.05,7/1/2025
9,6,33,FY2025P08,Department of Agriculture,615341.17,72228.78,1527000,0,0,0,0,2214569.95,852263.86,72228.78,1362306.09,854698.59,2214569.95,7/1/2025
9,6,34,FY2025P08,Department of Agriculture,498103.37,114942.54,1620000,0,0,0,0,2233045.91,843233.85,114942.54,1389812.06,1102965.38,2233045.91,7/1/2025
9,6,35,FY2025P08,Department of Agriculture,261407.69,22549.74,1000000,0,0,0,0,1283957.43,761528.21,22549.74,522429.22,770713.98,1283957.43,7/1/2025
9,6,36,FY2025P08,Department of Agriculture,280766.09,11742.44,1127000,0,0,0,0,1419508.53,544865.54,11742.44,874642.99,529111.74,1419508.53,7/1/2025
9,6,37,FY2025P08,Department of Agriculture,1026391.14,29479.54,1466000,0,0,0,0,2521870.68,477267.22,29479.54,2044603.46,894365.22,2521870.68,7/1/2025
9,6,38,FY2025P08,Department of Agriculture,53787917.26,127809185.9,0,0,0,0,0,181597103.2,70610949.2,26375539.25,110986154,110423578.3,181597103.2,7/1/2025
9,6,39,FY2025P08,Department of Agriculture,362004.85,216928.4,4500000,0,0,462523.33,462523.33,5541456.58,3401260.11,216928.4,2140196.47,3209899.36,5541456.58,7/1/2025
9,9,40,FY2025P08,Department of Agriculture,16553382.95,424555.73,1609582000,0,0,0,0,1626559939,980430323.6,424555.73,646129615.1,1173424402,1626559939,7/1/2025
9,10,41,FY2025P08,Department of Agriculture,6171956.56,24653.01,6500000,0,0,0,0,12696609.57,5623512.47,24653.01,7073097.1,3989522.61,12696609.57,7/1/2025
9,11,42,FY2025P08,Department of Agriculture,386727956.3,21615209.02,356535000,0,0,0,0,764878165.3,158987951.6,21615209.02,605890213.7,36580710.09,764878165.3,7/1/2025
9,6,43,FY2025P08,Department of Agriculture,634365.12,13630,932000,0,0,0,0,1579995.12,361565.88,13630,1218429.24,407174.2,1579995.12,7/1/2025
9,12,44,FY2025P08,Department of Agriculture,596774.86,107046,4922000,0,0,0,0,5625820.86,1676701.31,107046,3949119.55,3625180.88,5625820.86,7/1/2025
9,10,45,FY2025P08,Department of Agriculture,21508113.73,-4264783.95,286258282,0,0,75123880.8,75123880.8,378625492.6,197459482.3,4810823.61,181166010.3,207154338.1,378625492.6,7/1/2025
9,13,46,FY2025P08,Department of Agriculture,69768480.53,7692517.59,351587000,0,0,362369835.4,362369835.4,791417833.5,540729171.5,9955240.88,250688662,554539809.3,791417833.5,7/1/2025
9,11,47,FY2025P08,Department of Agriculture,105414.77,0,362000000,0,0,0,0,362105414.8,0,0,362105414.8,0,362105414.8,7/1/2025
9,10,48,FY2025P08,Department of Agriculture,8577668.01,41961951.14,0,0,0,0,0,50539619.15,28659861.71,41961951.14,21879757.44,321892547.3,50539619.15,7/1/2025
9,6,49,FY2025P08,Department of Agriculture,2206540.41,509910.14,20800000,0,0,2358383.62,2358383.62,25874834.17,16983855.03,509910.14,8890979.14,18841671.4,25874834.17,7/1/2025
9,6,50,FY2025P08,Department of Agriculture,651207.84,1039086.45,3000000,0,0,0,0,4690294.29,2316771.39,1039086.45,2373522.9,4453448.21,4690294.29,7/1/2025
9,6,51,FY2025P08,Department of Agriculture,22500883.09,4620980.5,647513000,0,0,-177203.3,-177203.3,674457660.3,485034421,7996435.88,189423239.3,478828736.2,674457660.3,7/1/2025
9,6,52,FY2025P08,Department of Agriculture,699278.99,428415.01,14967000,0,0,-0.42,-0.42,16094693.58,9162662.33,509852.78,6932031.25,9411112.14,16094693.58,7/1/2025
9,10,53,FY2025P08,Department of Agriculture,156205385.9,5526550.79,1209307000,0,0,318552947.4,318552947.4,1689591884,982478716,16454605.79,707113168.1,1000361506,1689591884,7/1/2025
9,6,54,FY2025P08,Department of Agriculture,68829.81,0,0,0,0,0,0,68829.81,46209.84,0,22619.97,3125535.96,68829.81,7/1/2025
9,6,55,FY2025P08,Department of Agriculture,1526361.86,361868.15,16703000,0,0,0,0,18591230.01,11078246.8,511868.15,7512983.21,10235461.28,18591230.01,7/1/2025
9,6,56,FY2025P08,Department of Agriculture,20641204.67,771289.16,123776800,0,0,2294187.27,2294187.27,147483481.1,79584107.1,5121289.16,67899374,75114127.64,147483481.1,7/1/2025
9,14,57,FY2025P08,Department of Agriculture,1184582014,37923043.67,895754000,0,0,45996776.31,45996776.31,2164255834,656036315,43549918.72,1508219519,890768752.1,2164255834,7/1/2025
9,8,58,FY2025P08,Department of Agriculture,46970993.89,807172.49,1000000,0,0,585374.6,585374.6,49363540.98,2305862.05,1041844.92,47057678.93,23058877.03,49363540.98,7/1/2025
9,15,59,FY2025P08,Department of Agriculture,3658515.63,0,0,0,0,0,0,3658515.63,114119.77,0,3544395.86,114119.77,3658515.63,7/1/2025
9,14,60,FY2025P08,Department of Agriculture,6031853732,376066545.8,9744632363,0,0,28664796.15,28664796.15,16181217437,2737589431,376343731.3,13443628006,3217649749,16181217437,7/1/2025
9,14,61,FY2025P08,Department of Agriculture,75767.85,0,0,0,0,0,0,75767.85,0,0,75767.85,1918302.24,75767.85,7/1/2025
